zeta_46m,phi_theta
-10.508018,0.740292863577
-7.9295406,0.61137924252
-6.4860159,0.597230763263
-6.2705141,0.677510638474
-4.8781061,0.786974094039
-4.5522215,0.767785690919
-4.0883777,0.693112005166
-3.7199049,1.13713587266
-3.7065637,1.00588129649
-3.1537816,0.919855840075
-2.6552125,0.839527294361
-1.9399163,1.02315967759
-1.8589522,1.13674330508
-1.837353,1.37549932217
-1.8023482,1.0560902424
-1.7143943,1.96605876147
-1.6500217,4.43294716021
-1.5845962,1.23056702579
-1.5454166,0.813954266281
-1.3174558,0.881110633397
-1.313599,1.37414389356
-1.2990315,1.6062158769
-1.2910365,1.5250212418
-1.2767468,1.14605551137
-1.2690443,1.5795207074
-1.2417009,1.55493022649
-1.2231601,1.22250643598
-1.2189118,1.63934711295
-1.2157439,1.14262296398
-1.2015373,1.37143544094
-1.1986011,1.00268318702
-1.1844774,1.07397714417
-1.1730684,0.978069704231
-1.1310243,1.40017184188
-1.0955323,1.31274106268
-1.0941865,1.37454574065
-1.0793231,1.09818266846
-1.0322883,1.41585506141
-1.0296938,1.05848047561
-0.99854826,1.35635703143
-0.98538151,1.51123954385
-0.94338025,1.41276942487
-0.92748106,1.15113631243
-0.91681173,2.82058770874
-0.90622425,1.09014487771
-0.8938208,1.59162714095
-0.83923535,1.60824636629
-0.8293245,1.56944336673
-0.81233114,1.11722136163
-0.8038874,1.24857072979
-0.79926373,1.43719700574
-0.76886132,1.18009149558
-0.76642931,1.60772667872
-0.75653685,1.76894845407
-0.75320228,1.62368282298
-0.74683574,1.46034193003
-0.7434456,1.28883335326
-0.73151159,2.45563439276
-0.69856388,3.21503474865
-0.69454496,1.4253862467
-0.69046161,1.16229412214
-0.67817484,1.26785706554
-0.67331573,1.28165990508
-0.66117667,2.32541106
-0.66051037,1.28847550419
-0.65739113,1.37781014181
-0.65608882,1.96296950032
-0.65292794,1.90544090813
-0.64715983,2.82577987071
-0.62656548,1.39221596284
-0.62451635,1.44786370992
-0.62363783,1.39004980652
-0.61950894,1.51459105034
-0.61405328,1.15065609194
-0.61018976,1.87099710963
-0.60773334,1.73013481656
-0.60709459,1.74086681238
-0.59972371,1.48520926513
-0.59680115,1.73210492505
-0.59246211,1.31965667198
-0.58865102,1.84706397883
-0.58387696,1.65566330134
-0.58176596,1.25048265449
-0.57964471,2.298428879
-0.56558092,1.63544450391
-0.55514835,1.41527443099
-0.54725369,1.60780271601
-0.53847646,2.13849718625
-0.53366814,1.21320171426
-0.52157557,1.39876944115
-0.50438313,1.20742982211
-0.50130099,1.35905713461
-0.50112267,1.79657088011
-0.50033505,1.24921292581
-0.49864243,1.34909044746
-0.49577679,1.59726407187
-0.49491469,1.52291755541
-0.49257946,1.52629557774
-0.49030061,2.37249117492
-0.48897161,1.82599351132
-0.48413736,1.49846360424
-0.48412846,1.16531564106
-0.48323278,1.90777686751
-0.48180212,1.99318618408
-0.4756202,3.77931053906
-0.47268215,2.02911235022
-0.46423292,1.32354589827
-0.4595735,1.23829186139
-0.45611119,4.19974545546
-0.45496001,2.6027425544
-0.45278849,1.39177907242
-0.44225918,2.82428933673
-0.4409742,1.39850324076
-0.43666537,1.3528586765
-0.43297361,2.0402494383
-0.43218325,1.450701975
-0.42803035,1.45329001466
-0.42603071,1.45729076217
-0.42233896,1.83300835609
-0.4220473,1.36702853313
-0.42075102,2.01620407631
-0.41885392,4.53328316669
-0.41884083,1.68146559397
-0.41708768,2.48753935468
-0.41644612,2.56730746432
-0.41586656,1.51510510271
-0.40908906,1.5918128605
-0.39936358,2.02653370839
-0.3960746,1.71643469574
-0.39468788,1.40132584491
-0.39246991,1.59081016355
-0.38538974,1.56164131665
-0.38532416,1.39616410568
-0.3836514,2.24966844839
-0.37964154,3.64049504218
-0.37761031,1.64382456435
-0.37469669,1.85836867934
-0.3741088,2.03172516422
-0.37188825,1.47268038989
-0.3717246,1.47104494225
-0.36998198,3.12108086924
-0.36371334,1.4773139769
-0.36292604,4.6177185168
-0.35577305,1.22172032507
-0.35111949,1.95081532454
-0.35105781,1.32774526214
-0.35061377,1.84596696576
-0.34970779,1.40282145014
-0.34361831,1.79467433042
-0.33997018,1.34954593054
-0.33982223,1.85774941493
-0.33952954,1.81146164148
-0.33689464,1.47743317262
-0.33620456,3.39117955946
-0.3354137,1.51253898743
-0.33397543,2.51365334238
-0.33277846,1.73193387403
-0.3306249,1.57074016666
-0.33049732,1.51347680934
-0.32894481,2.61643037794
-0.3202804,1.49644644892
-0.31983119,1.46248071296
-0.31697796,3.80413957005
-0.31531398,2.07457482284
-0.31524874,1.75847330318
-0.3147459,1.61739278966
-0.31312854,1.40899059428
-0.31200165,1.72567043326
-0.30949633,1.57260669351
-0.30622179,1.38467579249
-0.30261559,1.75707725627
-0.29703576,1.49088055191
-0.29360734,2.34207037293
-0.29009452,2.72242720242
-0.2900541,1.65486321462
-0.28883554,1.35731650528
-0.28732655,3.36097231355
-0.28380586,1.84420054676
-0.27799194,2.21126066935
-0.27746468,1.99094951857
-0.27514748,2.02531373313
-0.27335589,1.65130017801
-0.27248582,2.88667876556
-0.27202046,1.46507500836
-0.2707188,3.20418460927
-0.26526703,3.45690018812
-0.26205655,2.75287166364
-0.26189136,3.8571854463
-0.26054923,1.58417661674
-0.2595452,2.054631037
-0.25674965,6.35114811039
-0.25628292,2.85223708961
-0.25598167,1.87433308525
-0.25394191,1.93946176719
-0.25080805,1.56306422551
-0.24818086,1.60574974452
-0.24790221,3.05872628007
-0.24745162,1.88516715036
-0.24690722,5.97235375667
-0.24479156,2.06148936778
-0.24385037,1.83565869899
-0.24290863,2.60878883629
-0.24218822,1.60890447101
-0.24181868,2.34622627935
-0.2402427,5.7469314284
