zeta_46m,phi_w
-10.508018,3.14797602614
-7.9295406,2.81646374184
-6.4860159,2.69724565233
-6.2705141,2.51481739694
-4.8781061,1.9346875665
-4.5522215,2.50574735245
-4.0883777,2.43463086697
-3.7199049,1.97012383496
-3.7065637,1.98244466987
-3.1537816,2.09355475179
-2.6552125,2.02111590558
-1.9399163,1.61369772787
-1.8589522,1.71884327401
-1.837353,1.91093646043
-1.8023482,1.93723944643
-1.7143943,1.60082387218
-1.6500217,1.76425844761
-1.5845962,1.90293742834
-1.5454166,1.91076099444
-1.3174558,1.97937341408
-1.313599,1.56508554142
-1.2990315,1.31197112375
-1.2910365,1.81613205604
-1.2767468,1.38323022696
-1.2690443,1.45806639585
-1.2417009,1.94254862166
-1.2231601,1.66820728439
-1.2189118,1.61613522183
-1.2157439,1.77367402743
-1.2015373,1.31712330354
-1.1986011,1.69054418833
-1.1844774,1.61514720134
-1.1730684,1.69785491452
-1.1310243,1.80232326618
-1.0955323,1.71979420399
-1.0941865,1.27256537623
-1.0793231,1.39477474528
-1.0322883,1.50184034264
-1.0296938,1.43553302098
-0.99854826,1.26579460105
-0.98538151,1.56908528427
-0.94338025,1.48924123166
-0.92748106,1.29812050845
-0.91681173,1.3686879082
-0.90622425,1.52363924841
-0.8938208,1.72215954319
-0.83923535,1.40084736636
-0.8293245,1.33726705854
-0.81233114,1.47650506016
-0.8038874,1.23610010558
-0.79926373,1.37630065018
-0.76886132,1.32581542801
-0.76642931,1.37115883129
-0.75653685,1.33627191737
-0.75320228,1.30223853989
-0.74683574,1.5282937829
-0.7434456,1.70432058556
-0.73151159,1.74221799392
-0.69856388,1.34411814444
-0.69454496,1.38835105291
-0.69046161,1.52122400795
-0.67817484,1.45797844075
-0.67331573,1.38598364947
-0.66117667,1.36456531856
-0.66051037,1.54777489346
-0.65739113,1.68586531874
-0.65608882,1.68240612622
-0.65292794,1.49322736977
-0.64715983,1.75409766142
-0.62656548,1.40949244156
-0.62451635,1.58352356667
-0.62363783,1.37895720702
