zeta_46m,phi_q
-10.508018,0.576095696018
-7.9295406,0.753304783787
-6.4860159,0.673991323061
-6.2705141,0.660828092107
-4.8781061,0.974512643132
-4.5522215,0.82550595753
-4.0883777,0.70013683459
-3.7199049,1.20756321881
-3.7065637,1.0052934122
-3.1537816,0.901808713832
-2.6552125,0.83819298158
-1.9399163,1.20004650499
-1.8589522,1.3929042874
-1.837353,1.15893106289
-1.8023482,0.94537601626
-1.7143943,1.06984086263
-1.6500217,1.46762614091
-1.5845962,0.982885328744
-1.5454166,0.81726940334
-1.3174558,0.943352293711
-1.313599,1.71139669887
-1.2990315,1.65700645121
-1.2910365,1.55694151316
-1.2767468,1.15049927881
-1.2690443,1.66855381289
-1.2417009,1.35612913912
-1.2231601,1.46184306544
-1.2189118,1.14829027781
-1.2157439,1.2593045677
-1.2015373,1.36764327061
-1.1986011,1.07335625647
-1.1844774,1.17519355283
-1.1730684,1.07000903389
-1.1310243,1.18420646265
-1.0955323,1.27179616953
-1.0941865,1.23842514064
-1.0793231,1.12349761805
-1.0322883,1.68482993352
-1.0296938,1.17606936245
-0.99854826,1.15343742204
-0.98538151,1.92182031851
-0.94338025,1.22432607278
-0.92748106,1.07992565076
-0.91681173,1.56294351434
-0.90622425,1.33604137761
-0.8938208,1.32497964475
-0.83923535,1.47156397372
-0.8293245,1.2231864028
-0.81233114,1.13030113547
-0.8038874,1.42821109208
-0.79926373,1.51357921864
-0.76886132,1.18522809968
-0.76642931,1.32269641351
-0.75653685,1.52500334945
-0.75320228,1.44374434357
-0.74683574,2.02058095921
-0.7434456,1.40632389629
-0.73151159,1.22860620951
-0.69856388,2.20982112834
-0.69454496,1.29012912581
-0.69046161,1.25191102779
-0.67817484,1.32883770715
-0.67331573,1.43118738846
-0.66117667,1.63164883485
-0.66051037,2.85586981702
-0.65739113,1.08331418877
-0.65608882,1.97598790888
-0.65292794,1.3204529634
-0.64715983,1.13880931937
-0.62656548,1.23423483141
-0.62451635,1.26115670567
-0.62363783,1.42014745263
-0.61950894,1.3693069706
-0.61405328,1.4249158825
-0.61018976,2.25269392673
-0.60773334,1.4295203521
-0.60709459,1.98392065974
-0.59972371,1.57924930878
-0.59680115,1.35078855596
-0.59246211,1.35500851819
-0.58865102,1.40534044453
-0.58387696,1.39118228008
-0.58176596,1.50565640435
-0.57964471,1.82667003463
-0.56558092,2.64983462745
-0.55514835,1.70384045669
-0.54725369,1.92569718781
-0.53847646,1.81869832509
-0.53366814,1.29369408653
-0.52157557,1.56524494565
-0.50438313,1.3455536746
-0.50130099,1.67266853521
-0.50112267,1.35316826401
-0.50033505,1.49297602471
-0.49864243,1.50595253561
-0.49577679,1.46263664938
-0.49491469,1.44437889413
-0.49257946,1.57354401652
-0.49030061,1.76148164306
-0.48897161,1.8970301038
-0.48413736,1.56648568576
-0.48412846,1.79429884129
-0.48323278,2.05248631024
-0.48180212,1.60325617212
-0.4756202,1.87150935402
-0.47268215,1.37464851147
-0.46423292,1.48061210228
-0.4595735,1.71069376769
-0.45611119,2.65220041456
-0.45496001,1.40979869091
-0.45278849,1.21653119607
-0.44225918,1.60667738924
-0.4409742,1.58276170915
-0.43666537,1.42795611378
-0.43297361,3.87281942061
-0.43218325,1.40398679074
-0.42803035,1.59871453641
-0.42603071,1.3419355071
-0.42233896,1.53184582172
-0.4220473,1.4599843103
-0.42075102,1.37491498191
-0.41885392,2.94145247099
-0.41884083,2.06022585114
-0.41708768,1.98225690637
-0.41644612,1.87921023204
-0.41586656,1.71079365148
-0.40908906,1.70804595615
-0.39936358,1.90779351099
-0.3960746,1.62740348322
-0.39468788,1.40802577214
-0.39246991,1.33339591394
-0.38538974,1.64233148145
-0.38532416,1.61973563086
-0.3836514,1.68981464769
-0.37964154,1.66295942105
-0.37761031,1.49123278585
-0.37469669,2.02805973303
-0.3741088,1.69606453849
-0.37188825,1.95177106155
-0.3717246,1.98116116765
-0.36998198,1.55279754072
-0.36371334,1.57988127004
-0.36292604,1.5700920367
-0.35577305,1.31738404768
-0.35111949,1.49426097812
-0.35105781,1.59884084796
-0.35061377,2.65406111861
-0.34970779,1.8554831789
-0.34361831,1.5255251337
-0.33997018,1.60027857698
-0.33982223,1.62597959403
-0.33952954,1.85346853322
-0.33689464,1.48841076648
-0.33620456,2.37105015176
-0.3354137,1.70874675901
