zeta_46m,phi_c
-10.508018,0.516153234297
-7.9295406,0.735634394144
-6.4860159,0.678081874387
-6.2705141,0.739346258681
-4.8781061,0.807589736979
-4.5522215,0.974396438604
-4.0883777,1.09435800751
-3.7199049,10.2942495154
-3.7065637,6.10346888961
-3.1537816,0.736406015548
-2.6552125,0.79900160055
-1.9399163,7.25674960445
-1.8589522,1.16960624034
-1.837353,0.995615941507
-1.8023482,0.939180144512
-1.7143943,1.04769971102
-1.6500217,2.29236971081
-1.5845962,0.956521190447
-1.5454166,1.29483260885
-1.3174558,6.43640006711
-1.313599,250.507475005
-1.2990315,1.74774577346
-1.2910365,1.22836680684
-1.2767468,20.4037196872
-1.2690443,6.92374158609
-1.2417009,1.02163079362
-1.2231601,2.79394718978
-1.2189118,1.34431798852
-1.2157439,12.8929371865
-1.2015373,26.1055847884
-1.1986011,8.02112807212
-1.1844774,1.74350637051
-1.1730684,0.917283100601
-1.1310243,3.67065638773
-1.0955323,1.0668615783
-1.0941865,1.3745993043
-1.0793231,2.36514959039
-1.0322883,0.915995658458
-1.0296938,1.11139072376
-0.99854826,2.18447987666
-0.98538151,1.2258718015
-0.94338025,1.23322033937
-0.92748106,51.1836275309
-0.91681173,1.59540699811
-0.90622425,0.961034984038
-0.8938208,1.2665101854
-0.83923535,1.08423511751
-0.8293245,3.11384538567
-0.81233114,0.9974639711
-0.8038874,3.44943963069
-0.79926373,3.88794302457
-0.76886132,2.93997333088
-0.76642931,1.17380020504
-0.75653685,1.08066574142
-0.75320228,1.36684418672
-0.74683574,1.07746952156
-0.7434456,1.09244141348
-0.73151159,1.0339139326
-0.69856388,19.4868608281
-0.69454496,1.1582786631
-0.69046161,1.69645570409
-0.67817484,13.021044358
-0.67331573,1.27933062441
-0.66117667,7.14233756133
-0.66051037,1.42629676939
-0.65739113,1.21753133989
-0.65608882,1.14728260922
-0.65292794,1.13726923885
-0.64715983,0.974744188144
-0.62656548,2.37467738646
-0.62451635,0.998168025514
-0.62363783,7.30603101689
-0.61950894,15.5562754096
-0.61405328,1.63032987455
-0.61018976,1.44142376087
-0.60773334,6.81194391266
-0.60709459,2.66518654623
-0.59972371,2.77715803851
-0.59680115,4.57266627025
-0.59246211,1.25266339462
-0.58865102,1.33632343334
-0.58387696,1.17048609357
-0.58176596,1.3046224806
-0.57964471,2.88187829893
-0.56558092,4.13181550257
-0.55514835,3.74564646818
-0.54725369,1.39995997015
-0.53847646,5.24304770312
-0.53366814,1.91609474005
-0.52157557,1.852951006
-0.50438313,1.1976903321
-0.50130099,6.7918471783
-0.50112267,11.7104246019
-0.50033505,1.14971891249
-0.49864243,2.16734494105
-0.49577679,1.94214782817
-0.49491469,2.72004532838
-0.49257946,2.80024554289
-0.49030061,13.9769127578
-0.48897161,2.10773394335
-0.48413736,3.60818819003
-0.48412846,1.25584756575
-0.48323278,22.1576009038
-0.48180212,1.41955798471
-0.4756202,16.7201697123
-0.47268215,1.42209988356
-0.46423292,3.99412582487
-0.4595735,1.2288456891
-0.45611119,21.3839115707
-0.45496001,1.57952601649
-0.45278849,2.48871670978
-0.44225918,1.53303562112
-0.4409742,7.01967072776
-0.43666537,1.55870222448
-0.43297361,4.69934649716
-0.43218325,1.69120016821
-0.42803035,1.31379150447
-0.42603071,2.34285064808
-0.42233896,1.27538515996
-0.4220473,10.4324472663
-0.42075102,2.8579165612
-0.41885392,1.56666469051
-0.41884083,1.62887364217
-0.41708768,22.3096695516
-0.41644612,1.81447462916
-0.41586656,6.38809751301
-0.40908906,5.63261612722
-0.39936358,1.42071761981
-0.3960746,2.46579535053
-0.39468788,1.24780008562
-0.39246991,1.88528011713
-0.38538974,8.50312049032
-0.38532416,1.38807854069
-0.3836514,7.95075063853
-0.37964154,1.47249737227
-0.37761031,1.25197481465
-0.37469669,1.47453277011
-0.3741088,5.76038189009
-0.37188825,3.67251644027
-0.3717246,11.6354014337
-0.36998198,2.40242731465
-0.36371334,8.63761581937
-0.36292604,1.28995540246
-0.35577305,1.08907395984
-0.35111949,1.57295189631
-0.35105781,3.00541876976
-0.35061377,1.44050762177
-0.34970779,12.4817783635
-0.34361831,1.39642744019
-0.33997018,4.27119177038
-0.33982223,1.50984818248
-0.33952954,1.34744801085
-0.33689464,2.05535379541
-0.33620456,3.11216482597
-0.3354137,1.53662513577
-0.33397543,2.1378259673
-0.33277846,1.26687012391
-0.3306249,5.25067002048
-0.33049732,1.40426098405
-0.32894481,8.71289527246
-0.3202804,1.78396800905
-0.31983119,2.00943971668
-0.31697796,2.93325034074
-0.31531398,1.32438304829
-0.31524874,3.60777708295
-0.3147459,1.56401381016
-0.31312854,6.42266185866
-0.31200165,1.41164127748
-0.30949633,1.78195688198
-0.30622179,1.22285424134
-0.30261559,6.87226200293
-0.29703576,2.14707328299
-0.29360734,1.38801557491
-0.29009452,782.600438314
-0.2900541,1.52544752441
-0.28883554,2.28918754211
-0.28732655,4.67849026687
-0.28380586,1.78185381641
-0.27799194,1.92182250131
-0.27746468,1.4140961562
-0.27514748,1.50685038602
-0.27335589,2.69549290715
-0.27248582,1.46901115665
-0.27202046,1.67897577034
-0.2707188,1.46424444548
-0.26526703,1.440429753
-0.26205655,5.0533775467
-0.26189136,1.53890734659
-0.26054923,1.31324854308
-0.2595452,1.61587939617
-0.25674965,2.25503397026
-0.25628292,112.514469429
-0.25598167,38.6828620307
-0.25394191,1.34699431224
-0.25080805,2.83628797423
-0.24818086,3.46692357024
-0.24790221,1.64317225615
-0.24745162,1.3135649043
-0.24690722,1.6164446712
-0.24479156,1.42805221889
-0.24385037,1.60273064592
-0.24290863,4.82281106221
-0.24218822,1.28584738119
-0.24181868,1.86195647093
-0.2402427,4.57792348166
-0.23974046,1.76447446173
-0.23744917,1.45895503643
-0.23726946,1.58153009055
-0.23471779,3.49830582087
-0.23249135,1.64607327006
-0.22937832,2.4185774232
-0.22924237,3.16133401376
-0.22344204,1.42220328492
-0.22328463,568.466641551
-0.22326715,1.70097813177
-0.22166412,7.59058468342
-0.22131388,10.8564205688
-0.21980552,1.84867234559
-0.21976373,1.70938725539
-0.21912216,1.63200786565
-0.21852377,1.89372708446
-0.21397591,2.34589823936
-0.21389816,1.5851592122
-0.21265266,19.305193869
-0.20952169,1.95692442068
-0.20942759,3.89781237684
-0.20856698,1.34816854298
-0.20789087,2.88275996346
-0.2067576,2.70083556633
-0.20526014,17.6318921358
-0.2034962,1.59168727944
-0.20277702,1.51337299947
-0.1971546,31.7236056995
-0.196263,14.307129282
-0.19571967,1.64689527018
-0.19483062,1.4382525436
-0.19398175,1.58197878321
-0.19170426,2.01410497956
-0.19013978,1.52898987291
-0.18904524,8.77406206277
-0.18832951,1.82794580907
-0.18797041,10.9371965128
-0.186404,1.60400291348
-0.18356413,1.41997815398
-0.18333583,105.347509016
-0.18304063,1.64407187927
-0.18255912,1.94586372318
-0.18003925,1.65517242622
-0.179104,1.74393048437
-0.17815396,1.72799340749
-0.17745529,1.76636589627
-0.17675614,1.53412014673
-0.17637384,3.27581142576
-0.17557468,2.81959643793
-0.17520488,1.76624488353
-0.1750646,1.39144349177
-0.17439371,2.6695469672
-0.17372975,4.14090907189
-0.17319243,1.43641420899
-0.17135578,1.99998661202
-0.16786757,1.60938940285
-0.16747529,2.16539128354
-0.16654974,1.9524177769
-0.16613138,4691.17938173
-0.1648488,7.92423459853
-0.16171133,6.85677588927
-0.16026429,1.30569866337
-0.15874482,1.61802923631
-0.15797841,1.72752403952
-0.15727104,11.2669071538
-0.15702733,1.50151286405
-0.15647519,2.19462934947
-0.15420956,3.19996762349
-0.15377855,3.24270868278
-0.15347564,1.5009642574
-0.15318883,5.15049462117
-0.15296349,15.2382402594
-0.15191664,1.54419888879
-0.14995788,1.83956134706
-0.14912824,2.09298923931
-0.14883816,1.80612223209
-0.14807353,7.66709877583
-0.14780873,2.02346548016
-0.14678937,2.28307340084
-0.14676656,1.56255009825
-0.14553187,1.60295795764
-0.14485671,4.69205517531
-0.14457036,1.49417223348
-0.14438459,1.66876828358
-0.1440797,2.56460349311
-0.14340401,1.49762085946
-0.14283299,8.87038186395
-0.14170286,32.4178031795
-0.14135434,1.64568242246
-0.13955652,1.71169483563
-0.13908619,1.60891340854
-0.13888523,1.61365320602
-0.13785056,1.51762871276
-0.13783329,1.55171191863
-0.13777805,1.53704909612
-0.13746949,1.52832352245
-0.13684658,2.83675855313
-0.13650327,3.04594809659
-0.13587843,2.38572993529
-0.13563771,7.91128647903
-0.13370871,1.31432228032
-0.13353136,1.97779757204
-0.13256995,1.46455523774
-0.13205435,1.74076119992
-0.13151598,2.00971851765
-0.13010588,1.77226061556
-0.12990467,1.62783291073
-0.12975902,1.89856455687
-0.12873599,2.04486406632
-0.12762797,1.6459326803
-0.12551279,2.59023931902
-0.12471353,1.52953068268
-0.12388554,1.78177672658
-0.12335875,2.3472781047
-0.12297551,1.6861290352
-0.12278156,1.58618123442
-0.12019783,1.71951746481
-0.11942016,1.62879699889
-0.1185579,1.5602898334
-0.11799019,2.27692636554
-0.11779192,4.57363885245
-0.11704039,1.53260497343
-0.1161508,2.05139922732
-0.1159893,1.56318567445
-0.11523815,1.59808614804
-0.11493274,1.90366350592
-0.11435903,3.08111992023
-0.1141984,1.88547907367
-0.11408821,1.51658221562
-0.11380744,1.82451055957
-0.11356989,3.53327591634
-0.11323718,1.86581736167
-0.11131774,1.75277896675
-0.11100805,1.74149932725
-0.11015865,1.99342365852
-0.10973294,1.65595188693
-0.10925562,6.36557820072
-0.10904027,1.8151915653
-0.10876101,1.85329094319
-0.10861067,1.47708261087
-0.10795125,2.6254001692
-0.10760459,1.97996776788
-0.10594536,7.33889077142
-0.1047258,1.85867631707
-0.10466971,2.14514827756
-0.10452396,1.42768950386
-0.10431673,1.63275317166
-0.1030195,1.89378344703
-0.10296963,4.92269005453
-0.10172317,12.2554606027
-0.10060502,4.32134485326
-0.099552162,2.3488366698
-0.098681663,1.99034989069
-0.098218687,1.96346787028
-0.097629272,1.47367540374
-0.095680635,2.15385429362
-0.095274576,1.79510652005
-0.095047561,1.65511361213
-0.094191464,3.53323959106
-0.094041444,1.76473514625
-0.093717456,1.90717128502
